Part,Qty,Price/per (CAD),Total,Link,Shipping (CAD),Notes
3D Printed Case,1,,,,n/a,Will print myself
NRF52840,2,4.19,8.38,https://www.aliexpress.com/item/1005006271779544.html,0,
Magsafe Magnet Rings 2x 15 plus version,2,5.49,10.98,https://www.aliexpress.com/item/1005006981590979.html,0,
20 PCS 2MM Thick Mechanical Keyboard Gasket,1,7.4,7.4,https://www.aliexpress.com/item/1005004800667967.html,0,
M2 (OD3.2mm)50pcs x 2mm,1,3.02,3.02,https://www.aliexpress.com/item/1005005220632314.html,0,
SK6812-Mini-e 100pcs,1,5.69,5.69,https://www.aliexpress.com/item/1005007863635868.html,0,
70pcs Kailh Hot-swappable PCB Socket Hot Plug,1,9.22,9.22,https://www.aliexpress.com/item/1005007232040760.html,0,
Wuque Studio WS Switch Morandi,1,51.38,51.38,https://www.aliexpress.com/item/1005006856018973.html?algo_exp_id=7a004831-5b55-4bc5-8157-6f7e24144c7f-8&pdp_ext_f=%7B%22order%22%3A%22174%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis!CAD!51.38!51.38!!!261.34!261.34!%402101ef5e17540155164282071e8086!12000038527534068!sea!CA!2614882474!X&curPageLogUid=DSRWiZJnTAN4&utparam-url=scene%3Asearch%7Cquery_from%3A,0,
White keycap set,1,29.79,29.79,https://www.aliexpress.com/item/1005004452360229.html,0,
SOD-123,1,2.64,2.64,https://www.aliexpress.com/item/1005006323468521.html,0,
M2 Stainless Steel Button Head Screws 50pcs,1,2.89,2.89,https://www.aliexpress.com/item/32810852732.html,0,
M2 Hex Socket Head Cap,1,2.1,2.1,https://www.aliexpress.com/item/32810872544.html,0,
Nice!view,1,31,31,https://clicketysplit.ca/products/nice-view,18.54,
TPS65-201A-S,1,8.93,8.93,https://www.mouser.ca/ProductDetail/Azoteq/TPS65-201A-S?qs=pfd5qewlna5Lh8O0E8DcUQ%3D%3D,20,
2000mAh 3.7V LiPo Li-polymer Battery Cell,2,10.56,21.12,https://www.ebay.ca/itm/123069203020,4.14,
TSWB3NCB111LFS,1,14.54,14.54,XCMKB,,This is a custom order to them
Polypropylene overlay for TPS65,1,3.23,3.23,XCMKB,48.48,As they ship from malasyia
FH12-10S-0.5SH(55),2,1.36,2.72,https://www.digikey.com/en/products/detail/hirose-electric-co-ltd/FH12-10S-0-5SH-55/1110314,,
FH12-6S-0.5SH(55),2,1.32,2.64,https://www.digikey.com/en/products/detail/hirose-electric-co-ltd/FH12-6S-0-5SH-55/1089415,6.99,
Machine Sockets and Pins,3,10,30,https://typeractive.xyz/products/machine-sockets-and-pins?variant=45741664469223,,"I can't find a cheaper alterantive, if there is I will switch to it"
Power Switch,1,3,3,https://typeractive.xyz/products/power-switch,,
Reset Button,1,3,3,https://typeractive.xyz/products/reset-button,,
Battery Jack ,1,2,2,https://typeractive.xyz/products/battery-jack?variant=45597492707559,15.46,
Female and Male Dupont Connectors,,,0,,,Already Have
,,,,,,
,,CAD:,255.67,,113.61,
,,USD,184.4224411,,81.9503013,
pcb from jlcpcb in usd,1,17.1,201.5224411,https://cart.jlcpcb.com/quote?rand=0.04393028142638511,27.8,minimum I could order was 5pcbs
,,,,,109.7503013,
,,,,,109.81,
,Total:,311.3324411,,,,
,With Tax (*1.13),351.8056584,,,,
