Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2",JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,2,Battery_Cell,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D4, D5, D6, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91",Diode_SOD-123,62,Diode,
"DISPLAY1, DISPLAY2",nice_view,2,nice!view,
E1,Encoder_TSWB3NCB111LFS,1,TSWB3NCB111LFS,
"J1, J2",OLED_128x32,2,OLED_128x32,
J3,Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal,1,Conn_01x10_Socket,
J4,Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal,1,Conn_01x10_Pin,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S3, S30, S31, S32, S33, S34, S35, S36, S37, S38, S39, S4, S40, S41, S42, S43, S44, S45, S46, S47, S48, S49, S5, S50, S51, S52, S53, S54, S55, S56, S57, S58, S6, S7, S8, S9",Hotswap_Choc_MX_Combo,58,Keyswitch,
"SW1, SW3",SW_SSSS811101,2,SW_SPDT,
"SW2, SW4",SW_EVQPUJ_4P7X3P5_PAN,2,SW_Push,
T1,Hirose_FH12-6S-0.5SH_1x06-1MP_P0.50mm_Horizontal,1,TPS65-201A-S,
"U1, U2",nice_nano,2,Nice_Nano_V2,
