Designator,Mid X,Mid Y,Rotation,Layer
D1,63.095267,-102.935361,0.0,bottom
D10,101.195219,-94.715056,0.0,bottom
D11,101.108021,-97.608016,0.0,bottom
D12,101.196419,-132.880252,0.0,bottom
D13,101.195327,-135.707984,0.0,bottom
D14,129.770303,-154.757968,0.0,bottom
D15,120.245235,-92.929117,0.0,bottom
D16,120.245403,-95.524414,0.0,bottom
D17,120.245323,-131.624462,0.0,bottom
D18,120.245311,-134.070876,0.0,bottom
D19,148.820287,-157.734528,0.0,bottom
D2,63.095275,-105.43069,0.0,bottom
D20,138.700018,-95.196292,0.0,bottom
D21,138.700018,-97.608016,0.0,bottom
D22,138.700018,-133.410401,0.0,bottom
D23,138.700018,-136.016549,0.0,bottom
D24,163.125082,-156.077544,0.0,bottom
D25,158.345267,-97.691621,0.0,bottom
D26,158.345435,-100.286918,0.0,bottom
D27,158.345279,-135.410385,0.0,bottom
D28,158.345355,-138.172905,0.0,bottom
D29,164.89379,-128.547881,0.0,bottom
D3,63.095359,-140.554157,0.0,bottom
D30,178.540323,-151.190688,0.0,bottom
D31,178.540323,-148.809436,0.0,bottom
D32,178.540323,-146.428184,0.0,bottom
D33,178.540323,-144.046932,0.0,bottom
D4,63.095275,-142.935409,0.0,bottom
D5,82.145291,-100.072873,0.0,bottom
D6,82.145371,-102.668168,0.0,bottom
D63,220.627451,-98.374234,180.0,bottom
D64,220.627371,-100.855502,180.0,bottom
D65,220.627371,-136.474266,180.0,bottom
D66,220.627371,-138.955534,180.0,bottom
D67,201.577355,-129.430526,180.0,bottom
D68,239.677387,-95.397669,180.0,bottom
D69,239.677387,-97.878937,180.0,bottom
D7,82.145203,-138.172905,0.0,bottom
D70,239.677387,-133.497701,180.0,bottom
D71,239.677387,-135.978969,180.0,bottom
D72,200.982042,-157.410237,180.0,bottom
D73,258.13217,-93.597669,180.0,bottom
D74,258.13217,-95.978921,180.0,bottom
D75,258.13217,-131.697701,180.0,bottom
D76,258.13217,-134.19303,180.0,bottom
D77,230.152379,-158.00555,180.0,bottom
D78,276.68494,-95.375198,180.0,bottom
D79,276.586873,-97.878937,180.0,bottom
D8,82.145203,-140.554157,0.0,bottom
D80,276.586873,-133.930064,180.0,bottom
D81,276.586873,-136.311312,180.0,bottom
D82,249.202395,-155.624298,180.0,bottom
D83,296.232202,-100.741425,180.0,bottom
D84,296.232202,-103.122677,180.0,bottom
D85,296.232202,-138.841457,180.0,bottom
D86,296.232202,-141.222709,180.0,bottom
D87,268.252491,-154.914908,180.0,bottom
D88,315.877451,-103.122677,180.0,bottom
D89,315.877451,-105.618006,180.0,bottom
D9,110.720319,-154.757968,0.0,bottom
D90,315.877531,-141.23677,180.0,bottom
D91,315.877451,-143.718038,180.0,bottom
DISPLAY1,170.251607,-116.107544,0.0,top
DISPLAY2,194.433607,-116.19486,0.0,top
E1,76.575176,-180.607218,180.0,top
J3,170.226607,-151.777544,180.0,bottom
J4,67.763176,-178.007218,0.0,bottom
J5,175.051607,-85.377544,270.0,bottom
J6,189.633607,-85.46486,90.0,bottom
S1,55.951607,-94.952544,0.0,top
S10,94.051607,-86.952544,0.0,top
S11,94.051607,-106.002544,0.0,top
S12,94.051607,-125.052544,0.0,top
S13,94.051607,-144.102544,0.0,top
S14,122.626607,-163.152544,0.0,top
S15,113.101607,-84.952544,0.0,top
S16,113.101607,-104.002544,0.0,top
S17,113.101607,-123.052544,0.0,top
S18,113.101607,-142.102544,0.0,top
S19,141.676607,-166.152544,0.0,top
S2,55.951607,-114.002544,0.0,top
S20,132.151607,-86.952544,0.0,top
S21,132.151607,-106.002544,0.0,top
S22,132.151607,-125.052544,0.0,top
S23,132.151607,-144.102544,0.0,top
S24,166.574918,-166.801037,65.0,top
S25,151.201607,-89.952544,0.0,top
S26,151.201607,-109.002544,0.0,top
S27,151.201607,-128.052544,0.0,top
S28,151.201607,-147.102544,0.0,top
S29,170.251607,-137.577544,0.0,top
S3,55.951607,-133.052544,0.0,top
S30,213.483607,-90.13986,0.0,top
S31,213.483607,-109.18986,0.0,top
S32,213.483607,-128.23986,0.0,top
S33,213.483607,-147.28986,0.0,top
S34,194.433607,-137.76486,0.0,top
S35,232.533607,-87.13986,0.0,top
S36,232.533607,-106.18986,0.0,top
S37,232.533607,-125.23986,0.0,top
S38,232.533607,-144.28986,0.0,top
S39,198.110296,-166.988353,295.0,top
S4,55.951607,-152.102544,0.0,top
S40,251.583607,-85.13986,0.0,top
S41,251.583607,-104.18986,0.0,top
S42,251.583607,-123.23986,0.0,top
S43,251.583607,-142.28986,0.0,top
S44,223.008607,-166.33986,0.0,top
S45,270.633607,-87.13986,0.0,top
S46,270.633607,-106.18986,0.0,top
S47,270.633607,-125.23986,0.0,top
S48,270.633607,-144.28986,0.0,top
S49,242.058607,-163.33986,0.0,top
S5,75.001607,-91.952544,0.0,top
S50,289.683607,-92.13986,0.0,top
S51,289.683607,-111.18986,0.0,top
S52,289.683607,-130.23986,0.0,top
S53,289.683607,-149.28986,0.0,top
S54,261.108607,-163.33986,0.0,top
S55,308.733607,-95.13986,0.0,top
S56,308.733607,-114.18986,0.0,top
S57,308.733607,-133.23986,0.0,top
S58,308.733607,-152.28986,0.0,top
S6,75.001607,-111.002544,0.0,top
S7,75.001607,-130.052544,0.0,top
S8,75.001607,-149.102544,0.0,top
S9,103.576607,-163.152544,0.0,top
SW1,180.001607,-126.577544,90.0,top
SW2,179.751607,-118.477544,90.0,top
SW3,184.683607,-126.66486,270.0,top
SW4,184.933607,-118.56486,270.0,top
T1,194.433607,-151.96486,180.0,bottom
U1,170.251607,-99.377544,270.0,bottom
U2,194.433607,-99.46486,270.0,bottom
